model,n_features,accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc
Top 30 (SHAP),30,0.8878662371529376,0.8859661815152835,0.8878528545097727,0.8878662371529376,0.977164139184842
All Features (Baseline),65,0.8869458505905814,0.88499771245373,0.886913617793323,0.8869458505905814,0.9768042675282107
Top 10 (SHAP),10,0.8857186685074397,0.8841500119682963,0.8853384417589564,0.8857186685074397,0.9756193453110781
Top 20 (SHAP),20,0.8841846909035128,0.882160437409801,0.8841177265855066,0.8841846909035128,0.9766489481019742
All Except Demographics,33,0.752416014726185,0.740984806762259,0.7404137909798576,0.752416014726185,0.9286617246872254
Assessment + VLE,29,0.7436723423838012,0.7298000724230337,0.7295765683134459,0.7436723423838012,0.9240100345164225
Assessment + Academic,8,0.741217978217518,0.7291274474458314,0.7277166645001177,0.741217978217518,0.9235558411379855
Assessment Only,6,0.7399907961343765,0.7238233406701854,0.7246371954866195,0.7399907961343765,0.9188710112394284
VLE + Academic,25,0.6514802883877895,0.6143533170350989,0.622230237601962,0.6514802883877895,0.8536126705089124
VLE Only,23,0.6458045712532597,0.6030304129772603,0.6113205777626662,0.6458045712532597,0.8471394267943666
Academic History Only,2,0.41770210154931736,0.3681630467167615,0.37871204413136206,0.41770210154931736,0.5828660615675983
Demographics Only,29,0.3985273815002301,0.3454075993388546,0.3686524858999552,0.3985273815002301,0.5737055758853429
