feature,mean_abs_shap
date_unregistration,1.9056693835510499
assessment_submission_rate,1.6087798693156001
avg_assessment_score,0.4771306975474665
avg_score_Exam,0.4691554127355545
num_assessments_submitted,0.33672121723437004
did_unregister,0.2896392247286762
avg_score_TMA,0.2285093672019244
clicks_homepage,0.12303871108566322
clicks_subpage,0.11916158312907661
total_assessments,0.11769692512738913
num_unique_activities,0.11506188773862192
clicks_quiz,0.11281726214045651
clicks_per_activity,0.10322367134430005
clicks_oucontent,0.10087062379572052
clicks_url,0.08181911575299301
clicks_forumng,0.07781686764290112
clicks_resource,0.07739051722138439
studied_credits,0.06615400894647286
clicks_ouwiki,0.06487200403773118
clicks_page,0.06396148407724937
total_clicks,0.06271090570504526
highest_education_Lower Than A Level,0.05462208452433835
avg_score_CMA,0.04787849427259193
clicks_externalquiz,0.04443347927716632
clicks_dataplus,0.03540006141199874
gender_M,0.026843995067357726
kmeans_cluster,0.024845533407479192
clicks_folder,0.02387538176849816
imd_band_10-20,0.023488903154622463
region_North Western Region,0.022073520818156545
clicks_glossary,0.021100279869092898
clicks_oucollaborate,0.0204259525183878
region_West Midlands Region,0.01949444113169113
region_London Region,0.017992599153506483
region_South West Region,0.017685171847211256
region_South Region,0.014959436379052218
imd_band_50-60%,0.014014653845931657
clicks_questionnaire,0.013565042713744663
imd_band_20-30%,0.01355129963945523
clicks_ouelluminate,0.013117874353695378
imd_band_40-50%,0.01278548393605532
age_band_35-55,0.012733495756250117
num_of_prev_attempts,0.011294943976675444
disability_Y,0.011123863740471347
clicks_htmlactivity,0.011070798392378987
imd_band_60-70%,0.010964299525114346
highest_education_HE Qualification,0.010345177476899295
region_Wales,0.010019102502463214
region_Scotland,0.00956364884243949
region_South East Region,0.009071992749073611
region_Yorkshire Region,0.008985268256193736
imd_band_30-40%,0.008497294808890676
imd_band_70-80%,0.008309899492060579
imd_band_80-90%,0.008277047963535157
clicks_dualpane,0.008189922739268912
imd_band_90-100%,0.007942357209325667
dbscan_cluster,0.0064774858587921475
region_East Midlands Region,0.005456112157248912
region_North Region,0.004586252002235283
region_Ireland,0.004298139065244909
highest_education_No Formal quals,0.0026111913040409427
age_band_55<=,0.00201373016493795
highest_education_Post Graduate Qualification,0.000846021353389976
clicks_sharedsubpage,0.0005265245389630324
clicks_repeatactivity,0.0
